candidate_share_independent,top5_share_independent,discounted_top5_share_independent,representation_gap_independent,avg_rank_independent,avg_rank_chain,ndcg5,alpha,ndcg_drop,abs_rep_gap
0.36743313282944784,0.3512812812812813,0.3518961097625255,-0.016151851548166563,14.687726415664804,14.470446236129959,0.39993723075181487,0.0,0.0,0.016151851548166563
0.36743313282944784,0.352972972972973,0.35336073032733495,-0.014460159856474863,14.668315824771454,14.481721082461883,0.3998686373244314,0.05,6.859342738346763e-05,0.014460159856474863
0.36743313282944784,0.3547147147147147,0.3548422741604818,-0.012718418114733121,14.64889423949074,14.4930023149996,0.4000666243800794,0.1,-0.00012939362826452916,0.012718418114733121
0.36743313282944784,0.35630630630630633,0.3562418941243757,-0.011126826523141509,14.629098845039607,14.504500678534367,0.39990168662845327,0.15,3.554412336159718e-05,0.011126826523141509
0.36743313282944784,0.3578678678678679,0.3576227959472422,-0.009565264961579945,14.60946286920527,14.515906442085097,0.3998649270291466,0.2,7.230372266825436e-05,0.009565264961579945
0.36743313282944784,0.35945945945945945,0.3590202525365826,-0.007973673369988388,14.589480570168929,14.527513371118385,0.399695743689592,0.25,0.0002414870622228782,0.007973673369988388
0.36743313282944784,0.3609409409409409,0.360381590549391,-0.006492191888506915,14.569476282357856,14.539133072563263,0.39964412464473476,0.3,0.00029310610708011,0.006492191888506915
0.36743313282944784,0.36246246246246244,0.36182357305116136,-0.004970670366985397,14.549208129250017,14.550906042947235,0.39974745836450004,0.35,0.00018977238731482382,0.004970670366985397
0.36743313282944784,0.36405405405405405,0.36331514083719774,-0.0033790787753937845,14.529346768474694,14.562442723716773,0.3998492565442501,0.4,8.797420756478935e-05,0.0033790787753937845
0.36743313282944784,0.3657057057057057,0.36478234795013753,-0.0017274271237421313,14.509265519952065,14.574107128602218,0.39995902706141884,0.45,-2.1796309603971942e-05,0.0017274271237421313
0.36743313282944784,0.366996996996997,0.3660681804651113,-0.00043613583245083465,14.489541589018806,14.585563981799314,0.399953163056564,0.5,-1.5932304749111115e-05,0.00043613583245083465
0.36743313282944784,0.3685985985985986,0.3675242106042381,0.0011654657691507753,14.469680228243481,14.59710066256885,0.39985633144624755,0.55,8.089930556731684e-05,0.0011654657691507753
0.36743313282944784,0.37012012012012013,0.36895855296619195,0.0026869872906722936,14.449126221064146,14.609039674303505,0.399984864398945,0.6,-4.763364713011864e-05,0.0026869872906722936
0.36743313282944784,0.3715115115115115,0.37030875778010164,0.004078378682063677,14.428286359813315,14.62114472738884,0.3998405125588991,0.65,9.671819291579009e-05,0.004078378682063677
0.36743313282944784,0.37303303303303303,0.37174347207862685,0.005599900203585195,14.407556442436137,14.63318591841622,0.39978104997459235,0.7,0.00015618077722251433,0.005599900203585195
0.36743313282944784,0.37464464464464464,0.3733206705759025,0.007211511815196803,14.386865005414736,14.645204757723318,0.39943524523721424,0.75,0.0005019855146006225,0.007211511815196803
0.36743313282944784,0.3763863863863864,0.37499139525166847,0.008953253556938545,14.365981166614443,14.657335355631835,0.39905912955168193,0.8,0.0008781012001329302,0.008953253556938545
0.36743313282944784,0.3777477477477478,0.3763497068616971,0.010314614918299936,14.34582845457394,14.669041270854953,0.3988937086312091,0.85,0.0010435221206057665,0.010314614918299936
0.36743313282944784,0.37932932932932933,0.37789175539281566,0.011896196499881495,14.324554315022182,14.68139857906921,0.39866761142573515,0.9,0.0012696193260797184,0.011896196499881495
0.36743313282944784,0.38075075075075077,0.3793419091834737,0.013317617921302927,14.303214209146232,14.693794204518241,0.3984743346612002,0.95,0.0014628960906146737,0.013317617921302927
0.36743313282944784,0.3823023023023023,0.38092041932149706,0.014869169472854438,14.28254476089956,14.705800271413747,0.3982497544179165,1.0,0.0016874763338983745,0.014869169472854438
